מאכל,יחידות,פחמימה,חלבון,שומן,קלוריות,סהכ פחמימה,סהכ חלבון,סהכ שומן,סהכ קלוריות,ולידציה
פיתות כוסמין אנג'ל,110,41.8,10.56,1.87,237.6,222.3598,202.993,44.835,2126.43,2104.9262
ביצה,2,1.0,17.0,13.0,194.0,,,,,
יוגורט פרו זירו,1,6.7,21.0,0.0,116.0,,,,,
שמן זית,5,0.0,0.0,4.6,41.5,,,,,
עגלפפון,230,8.05,0.0,0.0,34.5,,,,,
פסטרמה,3,3.3,10.8,2.1,72.0,,,,,
תפוא,173,34.6,2.941,0.173,148.78,,,,,
חזה עוף,250,0.0,62.5,6.25,300.0,,,,,
בצל,172,16.0648,1.892,0.172,68.8,,,,,
כוסמת,40,28.16,4.8,1.04,141.2,,,,,
שמן זית,8,0.0,0.0,7.36,66.4,,,,,
פיתות כוסמין אנג'ל,110,41.8,10.56,1.87,237.6,,,,,
שמן זית,0,0.0,0.0,0.0,0.0,,,,,
פסטרמה,5,5.5,18.0,3.5,120.0,,,,,
יוגורט פרו מתוק,1,11.2,20.0,0.0,130.0,,,,,
גרנולה לא מתוקה,20,10.36,2.94,2.9,76.8,,,,,
יוגורט פרו מתוק,1,11.2,20.0,0.0,130.0,,,,,
עגלפפון,75,2.625,0.0,0.0,11.25,,,,,
