מאכל,יחידות,פחמימה,חלבון,שומן,קלוריות,סהכ פחמימה,סהכ חלבון,סהכ שומן,סהכ קלוריות,ולידציה
ביצה,2,1,17,13,194,246.025,179.77,38.395,2098.55,2048.735
פיתות כוסמין אנג'ל,110,41.8,10.56,1.87,237.6,,,,,
יוגורט פרו זירו,1,6.7,21,0,116,,,,,
עגלפפון,235,8.225,0,0,35.25,,,,,
קטניות,75,12.15,7.05,0.675,99.75,,,,,
כוסמת,125,88,15,3.25,441.25,,,,,
חזה עוף,250,0,62.5,6.25,300,,,,,
תערובת ירוקים,60,3,2.4,0.48,30,,,,,
עגלפפון,110,3.85,0,0,16.5,,,,,
יוגורט פרו מתוק,1,11.2,20,0,130,,,,,
קוואקר,30,20.7,3.3,2.4,112.2,,,,,
פיתות כוסמין אנג'ל,110,41.8,10.56,1.87,237.6,,,,,
אצבעות מוצרלה,2,0,10.4,8.6,118,,,,,
סילאן,10,7.6,0,0,30.4,,,,,
_,100,0,0,0,0,,,,,
_,30,0,0,0,0,,,,,
