מאכל,יחידות,פחמימה,חלבון,שומן,קלוריות,סהכ פחמימה,סהכ חלבון,סהכ שומן,סהכ קלוריות,ולידציה
ביצה,2,1,17,13,194,380.5,257.5,125,3565,3540
פיתות כוסמין אנג'ל,110,41.8,10.56,1.87,237.6,,,,,
יוגור פרו אחוז וחצי,1,6.8,21,3,140,,,,,
עגלפפון,200,7,0,0,30,,,,,
כוסמת,120,84.48,14.4,3.12,423.6,,,,,
חזה עוף,200,0,50,5,240,,,,,
תערובת ירוקים,80,4,3.2,0.64,40,,,,,
קטניות,80,12.96,7.52,0.72,106.4,,,,,
שמן זית,5,0,0,4.6,41.5,,,,,
יוגורט פרו מתוק,1,11.2,20,0,130,,,,,
בננה,100,23.4,1,0.5,102.1,,,,,
סטייק מסעדה,300,0,75,30,570,,,,,
בגט לחם,50,26,4,0.5,125,,,,,
חמאה,7,0,0,6,54,,,,,
פרושוטו,50,0.5,13,7.5,120,,,,,
יין אדום,300,9,0,0,225,,,,,
קוקטייל לבן,200,20,0,0,240,,,,,
קרם ברולה,1,35,5,15,295,,,,,
סורבה תות,1,40,2,2,180,,,,,
_,0,0,0,0,0,,,,,
_,0,0,0,0,0,,,,,
